maxAge,1,1,1,1,1
address1,HDFC House,TCS House,Maker Chambers IV,State Bank Bhavan,Shivasagar Estate
fax,91 22 2204 6834,,91 22 2204 2268,91 22 2285 5348,
industry,Mortgage Finance,Information Technology Services,Oil & Gas Refining & Marketing,Banks—Regional,Auto Manufacturers
address2,"H T Parekh Marg 165-166, Backbay Reclamation Churchgate",Raveline Street Fort,3rd Floor 222 Nariman Point,"14th Floor Corporate Centre Madame Cama Road, Nariman Point",A Block Dr. Annie Besant Road Worli
ebitdaMargins,0,0.26850998,0.15483,0,0.04764
profitMargins,0.21177,0.19988,0.089899994,0.16787,-0.04109
grossMargins,0,0.43304002,0.32514,0,0.40683997
operatingCashflow,-440279105536,399489990656,,-3143845019648,142828306432
revenueGrowth,-0.023,0.158,0.57,0.005,-0.115
operatingMargins,0.18090999,0.25264,0.1137,0.17253,0.0075499997
ebitda,,514880012288,994277523456,,132671397888
targetLowPrice,1514,2742,1350,546,
recommendationKey,buy,hold,buy,strong_buy,none
grossProfits,1066371600000,830370000000,1722910000000,2107195972000,1132875900000
freeCashflow,,403964985344,,,-24716249088
targetMedianPrice,2163,4030,2280,625.5,
currentPrice,2161.6,3232.25,2512,447.5,393.4
earningsGrowth,0.203,0.075,0.393,0.56,
currentRatio,,2.557,,,0.975
returnOnAssets,0.02678,0.22241,,0.0072899996,0.0039
numberOfAnalystOpinions,38,43,29,42,
targetMeanPrice,2115.61,3928.37,2272.1,633.29,
debtToEquity,,8.701,31.21,,297.724
returnOnEquity,0.13422,0.43456,,0.12354,-0.21157
targetHighPrice,2380,5000,2830,750,
totalCash,1138196217856,482570010624,2197629960192,1627859058688,630250995712
totalDebt,3538277892096,78179999744,2639180070912,4493784645632,1491071664128
totalRevenue,1066945871872,1917539975168,6421619933184,2107195916288,2784536297472
totalCashPerShare,627.787,131.884,332.683,182.401,164.592
financialCurrency,INR,INR,INR,INR,INR
revenuePerShare,590.125,518.418,987.63,236.111,727.241
quickRatio,,2.273,,,0.684
recommendationMean,1.9,2.6,2.1,1.4,
exchange,NSI,NSI,NSI,NSI,NSI
shortName,HOUSING DEVEL FIN,TATA CONSULTANCY S,RELIANCE INDS,STATE BK OF INDIA,TATA MOTORS LTD.
longName,Housing Development Finance Corporation Limited,Tata Consultancy Services Limited,Reliance Industries Limited,State Bank of India,Tata Motors Limited
exchangeTimezoneName,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata
exchangeTimezoneShortName,IST,IST,IST,IST,IST
isEsgPopulated,False,False,False,False,False
gmtOffSetMilliseconds,19800000,19800000,19800000,19800000,19800000
quoteType,EQUITY,EQUITY,EQUITY,EQUITY,EQUITY
symbol,HDFC.NS,TCS.NS,RELIANCE.NS,SBIN.NS,TATAMOTORS.NS
messageBoardId,finmb_134291,finmb_6411769,finmb_878373,finmb_874487,finmb_874652
market,in_market,in_market,in_market,in_market,in_market
annualHoldingsTurnover,,,,,
enterpriseToRevenue,5.998,5.732,2.855,3.322,0.876
beta3Year,,,,,
enterpriseToEbitda,,21.347,18.441,,18.38
52WeekChange,-0.12914467,-0.01516223,0.17174149,0.07616091,0.18598056
morningStarRiskRating,,,,,
forwardEps,58.65,132.98,71.85,56.47,
revenueQuarterlyGrowth,,,,,
sharesOutstanding,1814360064,3659049984,6765989888,8924609536,3320659968
fundInceptionDate,,,,,
annualReportExpenseRatio,,,,,
totalAssets,,,,,
bookValue,992.004,243.612,1132.233,342.41,116.373
sharesShort,,,,,
sharesPercentSharesOut,,,,,
fundFamily,,,,,
lastFiscalYearEnd,1648684800,1648684800,1617148800,1648684800,1648684800
heldPercentInstitutions,0.61666,0.15788999,0.25726998,0.26754,0.1983
netIncomeToCommon,225946894336,383269994496,540959997952,353738784768,-114414698496
trailingEps,123.65,103.619,87.323,39.636,-29.882
lastDividendValue,30,22,7,7.1,0.2
SandP52WeekChange,-0.112463,-0.112463,-0.112463,-0.112463,-0.112463
priceToBook,2.1790235,13.268024,2.2186246,1.3069128,3.3805091
heldPercentInsiders,0.00903,0.72318,0.49661,0.57942003,0.47751
nextFiscalYearEnd,1711843200,1711843200,1680220800,1711843200,1711843200
yield,,,,,
mostRecentQuarter,1648684800,1648684800,1640908800,1648684800,1648684800
shortRatio,,,,,
sharesShortPreviousMonthDate,,,,,
floatShares,1793193747,997311042,3024055096,3740036956,2159840464
beta,0.932173,0.686086,0.955614,0.975217,2.083478
enterpriseValue,6399122210816,10991111766016,18335190220800,7000768380928,2438507266048
priceHint,2,2,2,2,2
threeYearAverageReturn,,,,,
lastSplitDate,1282089600,1527724800,1504742400,1416441600,1315785600
lastSplitFactor,5:1,2:1,2:1,10:1,5:1
legalType,,,,,
lastDividendDate,1653955200,1653436800,1623369600,1653436800,1468800000
morningStarOverallRating,,,,,
earningsQuarterlyGrowth,0.207,0.074,0.416,0.559,
priceToSalesTrailing12Months,3.6757536,6.16778,2.6467102,1.8944503,0.5037319
dateShortInterest,,,,,
pegRatio,1.81,2.06,,0.31,
ytdReturn,,,,,
forwardPE,36.855072,24.306288,34.961727,7.9210196,
lastCapGain,,,,,
shortPercentOfFloat,,,,,
sharesShortPriorMonth,,,,,
impliedSharesOutstanding,0,0,0,0,0
category,,,,,
fiveYearAverageReturn,,,,,
previousClose,2174.7,3211.95,2584.1,450.75,397.6
regularMarketOpen,2160,3199.9,2558.1,448.75,396.4
twoHundredDayAverage,2526.1443,3609.953,2511.4097,486.7605,449.16074
trailingAnnualDividendYield,0.013795006,0.013387506,0,0.015751526,0
payoutRatio,0.186,0.3474,0.0802,0.1009,0
volume24Hr,,,,,
regularMarketDayHigh,2185.85,3250.55,2558.3,451.2,397
navPrice,,,,,
averageDailyVolume10Day,3746860,2377912,7233399,12440161,16894248
regularMarketPreviousClose,2174.7,3211.95,2584.1,450.75,397.6
fiftyDayAverage,2218.738,3408.654,2634.298,475.069,421.074
trailingAnnualDividendRate,30,43,0,7.1,0
open,2160,3199.9,2558.1,448.75,396.4
toCurrency,,,,,
averageVolume10days,3746860,2377912,7233399,12440161,16894248
expireDate,,,,,
algorithm,,,,,
dividendRate,30,88,7,7.1,
exDividendDate,1653955200,1653436800,1623369600,1653436800,1468800000
circulatingSupply,,,,,
startDate,,,,,
regularMarketDayLow,2151.1,3183,2503,444.65,390.5
currency,INR,INR,INR,INR,INR
trailingPE,17.481197,31.193602,28.766764,11.285194,
regularMarketVolume,2520617,2837909,3817872,9119733,10399694
lastMarket,,,,,
maxSupply,,,,,
openInterest,,,,,
marketCap,3921830215680,11826964201472,16996167057408,3991977852928,1402659799040
volumeAllCurrencies,,,,,
strikePrice,,,,,
averageVolume,4843307,2274574,7632500,14822000,18737894
dayLow,2151.1,3183,2503,444.65,390.5
ask,2162,3234.45,2513.3,447.6,393.7
askSize,0,0,0,0,0
volume,2520617,2837909,3817872,9119733,10399694
fiftyTwoWeekHigh,3021.1,4043,2856.15,549,536.7
fromCurrency,,,,,
fiveYearAvgDividendYield,0.99,1.34,,,
fiftyTwoWeekLow,2026,3023.85,2016.25,401.25,268.45
bid,2161.55,3234.1,2513.25,447.6,393.5
tradeable,False,False,False,False,False
dividendYield,0.0139999995,0.028299998,0.0027,0.0163,
bidSize,0,0,0,0,0
dayHigh,2185.85,3250.55,2558.3,451.2,397
regularMarketPrice,2161.55,3232.25,2512,447.3,393.4
preMarketPrice,,,,,
logo_url,https://logo.clearbit.com/hdfc.com,https://logo.clearbit.com/tcs.com,https://logo.clearbit.com/ril.com,https://logo.clearbit.com/sbi.co.in,https://logo.clearbit.com/tatamotors.com
trailingPegRatio,,2.1869,,,
