nextFiscalYearEnd,nextFiscalYearEnd,1711843200,1711843200,1680220800,1711843200,1711843200
yield,yield,,,,,
mostRecentQuarter,mostRecentQuarter,1648684800,1648684800,1640908800,1648684800,1648684800
shortRatio,shortRatio,,,,,
sharesShortPreviousMonthDate,sharesShortPreviousMonthDate,,,,,
floatShares,floatShares,1793175616,997311042,3024055096,3740036956,2156303547
beta,beta,0.932173,0.686086,0.955614,0.975217,2.083478
enterpriseValue,enterpriseValue,6479892447232,11896727011328,18335190220800,7099831549952,2512480108544
priceHint,priceHint,2,2,2,2,2
threeYearAverageReturn,threeYearAverageReturn,,,,,
lastSplitDate,lastSplitDate,1282089600,1527724800,1504742400,1416441600,1315785600
lastSplitFactor,lastSplitFactor,5:1,2:1,2:1,10:1,5:1
legalType,legalType,,,,,
lastDividendDate,lastDividendDate,1653955200,1653436800,1623369600,1653436800,1468800000
morningStarOverallRating,morningStarOverallRating,,,,,
earningsQuarterlyGrowth,earningsQuarterlyGrowth,0.207,0.074,0.416,0.559,
priceToSalesTrailing12Months,priceToSalesTrailing12Months,3.706788,6.4113617,2.859806,1.9560739,0.5480583
dateShortInterest,dateShortInterest,,,,,
pegRatio,pegRatio,1.81,2.25,,0.32,
ytdReturn,ytdReturn,,,,,
forwardPE,forwardPE,37.16624,25.264303,37.77662,8.209208,
lastCapGain,lastCapGain,,,,,
shortPercentOfFloat,shortPercentOfFloat,,,,,
sharesShortPriorMonth,sharesShortPriorMonth,,,,,
impliedSharesOutstanding,impliedSharesOutstanding,0,0,0,0,0
category,category,,,,,
fiveYearAverageReturn,fiveYearAverageReturn,,,,,
previousClose,previousClose,2265.45,3427.1,2798.75,466.95,428.5
regularMarketOpen,regularMarketOpen,2240.3,3382,2771.9,462,423
twoHundredDayAverage,twoHundredDayAverage,2551.1296,3632.775,2505.0327,486.3035,445.6825
trailingAnnualDividendYield,trailingAnnualDividendYield,0.013242402,0.0125470515,0,0.015205054,0
payoutRatio,payoutRatio,0.186,0.3474,0.0802,0.1009,0
volume24Hr,volume24Hr,,,,,
regularMarketDayHigh,regularMarketDayHigh,2246.95,3393,2789.9,464.15,428.85
navPrice,navPrice,,,,,
averageDailyVolume10Day,averageDailyVolume10Day,3386661,2138593,9766232,11166786,13911376
regularMarketPreviousClose,regularMarketPreviousClose,2265.45,3427.1,2798.75,466.95,428.5
fiftyDayAverage,fiftyDayAverage,2275.71,3486.776,2636.38,484.693,428.368
trailingAnnualDividendRate,trailingAnnualDividendRate,30,43,0,7.1,0
open,open,2240.3,3382,2771.9,462,423
toCurrency,toCurrency,,,,,
averageVolume10days,averageVolume10days,3386661,2138593,9766232,11166786,13911376
expireDate,expireDate,,,,,
algorithm,algorithm,,,,,
dividendRate,dividendRate,30,88,7,7.1,
exDividendDate,exDividendDate,1653955200,1653436800,1623369600,1653436800,1468800000
circulatingSupply,circulatingSupply,,,,,
startDate,startDate,,,,,
regularMarketDayLow,regularMarketDayLow,2172.5,3352,2701.5,458.6,422
currency,currency,INR,INR,INR,INR,INR
trailingPE,trailingPE,17.628792,32.425518,31.082876,11.652286,
regularMarketVolume,regularMarketVolume,4484863,1527112,8343453,8618847,11908444
lastMarket,lastMarket,,,,,
maxSupply,maxSupply,,,,,
openInterest,openInterest,,,,,
marketCap,marketCap,3954942148608,12294041894912,18364588097536,4121830883328,1526088204288
volumeAllCurrencies,volumeAllCurrencies,,,,,
strikePrice,strikePrice,,,,,
averageVolume,averageVolume,4887369,2289608,7625291,15939746,20026962
dayLow,dayLow,2172.5,3352,2701.5,458.6,422
ask,ask,0,0,0,0,0
askSize,askSize,0,0,0,0,0
volume,volume,4484863,1527112,8343453,8618847,11908444
fiftyTwoWeekHigh,fiftyTwoWeekHigh,3021.1,4043,2856.15,549,536.7
fromCurrency,fromCurrency,,,,,
fiveYearAvgDividendYield,fiveYearAvgDividendYield,0.99,1.34,,,
fiftyTwoWeekLow,fiftyTwoWeekLow,2046,3132.4,2016.25,400.5,268.45
bid,bid,0,0,0,0,0
tradeable,tradeable,False,False,False,False,False
dividendYield,dividendYield,0.0138,0.026199998,0.0027,0.0154,
bidSize,bidSize,0,0,0,0,0
dayHigh,dayHigh,2246.95,3393,2789.9,464.15,428.85
regularMarketPrice,regularMarketPrice,2179.8,3359.9,2714.25,461.85,428.05
preMarketPrice,preMarketPrice,,,,,
logo_url,logo_url,https://logo.clearbit.com/hdfc.com,https://logo.clearbit.com/tcs.com,https://logo.clearbit.com/ril.com,https://logo.clearbit.com/sbi.co.in,https://logo.clearbit.com/tatamotors.com
