industry,Mortgage Finance,Information Technology Services,Oil & Gas Refining & Marketing,Banks—Regional,Auto Manufacturers
address2,"H T Parekh Marg 165-166, Backbay Reclamation Churchgate",Raveline Street Fort,3rd Floor 222 Nariman Point,"14th Floor Corporate Centre Madame Cama Road, Nariman Point",A Block Dr. Annie Besant Road Worli
totalCash,1138196217856,482570010624,2197629960192,1627859058688,630250995712
totalDebt,3538277892096,78179999744,2639180070912,4493784645632,1491071664128
totalRevenue,1066945871872,1917539975168,6421619933184,2107195916288,2784536297472
shortName,HOUSING DEVEL FIN,TATA CONSULTANCY S,RELIANCE INDS,STATE BK OF INDIA,TATA MOTORS LTD.
longName,Housing Development Finance Corporation Limited,Tata Consultancy Services Limited,Reliance Industries Limited,State Bank of India,Tata Motors Limited
symbol,HDFC.NS,TCS.NS,RELIANCE.NS,SBIN.NS,TATAMOTORS.NS
bid,2161.55,3234.1,2513.25,447.6,393.5
logo_url,https://logo.clearbit.com/hdfc.com,https://logo.clearbit.com/tcs.com,https://logo.clearbit.com/ril.com,https://logo.clearbit.com/sbi.co.in,https://logo.clearbit.com/tatamotors.com
